,Sentences,Word,POST,Predicted
14811,,al-Damaluji,NNP,I-org
14812,,",",",",O
14813,,said,VBD,O
14814,,the,DT,O
14815,,group,NN,O
14816,,ended,VBD,O
14817,,negotiations,NNS,O
14818,,.,.,O
14819,Sentence: 9696,She,PRP,O
14820,,claimed,VBD,O
14821,,the,DT,O
14822,,Shi'ite-dominated,JJ,B-org
14823,,State,NN,I-org
14824,,of,IN,I-org
14825,,Law,NNP,I-org
14826,,alliance,NN,O
14827,,labeled,VBD,O
14828,,them,PRP,O
14829,,as,IN,O
14830,,a,DT,O
14831,,Sunni,NNP,B-org
14832,,bloc,NN,O
14833,,rather,RB,O
14834,,than,IN,O
14835,,cross-sectarian,JJ,O
14836,,.,.,O
14837,Sentence: 9697,The,DT,O
14838,,fight,NN,O
14839,,over,IN,O
14840,,ethnic,JJ,O
14841,,political,JJ,O
14842,,standing,NN,O
14843,,comes,VBZ,O
14844,,as,IN,O
14845,,a,DT,O
14846,,group,NN,O
14847,,of,IN,O
14848,,activist,NN,O
14849,,organizations,NNS,O
14850,,filed,VBD,O
14851,,a,DT,O
14852,,lawsuit,NN,O
14853,,Monday,NNP,B-tim
14854,,against,IN,O
14855,,parliament,NN,O
14856,,speaker,NN,O
14857,,Fouad,NNP,B-per
14858,,Massum,NNP,I-per
14859,,.,.,O
14860,Sentence: 9698,The,DT,O
14861,,groups,NNS,O
14862,,are,VBP,O
14863,,accusing,VBG,O
14864,,him,PRP,O
14865,,of,IN,O
14866,,violating,VBG,O
14867,,the,DT,O
14868,,constitution,NN,O
14869,,by,IN,O
14870,,ordering,VBG,O
14871,,the,DT,O
14872,,newly,RB,O
14873,,elected,VBN,O
14874,,parliament,NN,O
14875,,",",",",O
14876,,which,WDT,O
14877,,convened,VBD,O
14878,,14,CD,O
14879,,Jun,NN,I-tim
14880,,",",",",O
14881,,to,TO,O
14882,,remain,VB,O
14883,,in,IN,O
14884,,an,DT,O
14885,,open-ended,JJ,O
14886,,session,NN,O
14887,,until,IN,O
14888,,a,DT,O
14889,,political,JJ,O
14890,,agreement,NN,O
14891,,is,VBZ,O
14892,,reached,VBN,O
14893,,.,.,O
14894,Sentence: 9699,Former,JJ,O
14895,,Prime,JJ,B-per
14896,,Minister,NN,I-per
14897,,Ayad,NNP,I-per
14898,,Allawi,NNP,I-per
14899,,'s,POS,O
14900,,Iraqiya,NNP,O
14901,,alliance,NN,O
14902,,won,VBD,O
14903,,the,DT,O
14904,,poll,NN,O
14905,,with,IN,O
14906,,91,CD,O
14907,,seats,NNS,O
14908,,in,IN,O
14909,,the,DT,O
14910,,7,CD,B-tim
14911,,March,NNP,I-tim
14912,,vote,NN,O
14913,,",",",",O
14914,,while,IN,O
14915,,Prime,NNP,B-per
14916,,Minister,NNP,I-per
14917,,Nouri,NNP,I-per
14918,,al-Maliki,NNP,I-per
14919,,'s,POS,O
14920,,State,NN,O
14921,,of,IN,O
14922,,Law,NN,O
14923,,alliance,NN,O
14924,,captured,VBD,O
14925,,89,CD,O
14926,,.,.,O
14927,Sentence: 9700,Both,DT,O
14928,,groups,NNS,O
14929,,were,VBD,O
14930,,far,RB,O
14931,,short,JJ,O
14932,,of,IN,O
14933,,the,DT,O
14934,,163-seat,JJ,O
14935,,majority,NN,O
14936,,needed,VBN,O
14937,,to,TO,O
14938,,govern,VB,O
14939,,.,.,O
14940,Sentence: 9701,Millions,NNS,O
14941,,of,IN,O
14942,,Americans,NNS,B-gpe
14943,,could,MD,O
14944,,lose,VB,O
14945,,their,PRP$,O
14946,,homes,NNS,O
14947,,this,DT,O
14948,,year,NN,O
14949,,and,CC,O
14950,,next,JJ,O
14951,,as,IN,O
14952,,the,DT,O
14953,,rate,NN,O
14954,,of,IN,O
14955,,foreclosures,NNS,O
14956,,across,IN,O
14957,,the,DT,O
14958,,United,NNP,B-geo
14959,,States,NNPS,I-geo
14960,,rises,VBZ,O
14961,,to,TO,O
14962,,the,DT,O
14963,,highest,JJS,O
14964,,in,IN,O
14965,,decades,NNS,O
14966,,.,.,O
14967,Sentence: 9702,The,DT,O
14968,,foreclosure,NN,O
14969,,crisis,NN,O
14970,,has,VBZ,O
14971,,worsened,VBN,O
14972,,despite,IN,O
14973,,ongoing,JJ,O
14974,,efforts,NNS,O
14975,,by,IN,O
14976,,some,DT,O
14977,,lenders,NNS,O
14978,,and,CC,O
14979,,the,DT,O
14980,,government,NN,O
14981,,to,TO,O
14982,,help,VB,O
14983,,borrowers,NNS,O
14984,,manage,VB,O
14985,,their,PRP$,O
14986,,mortgage,NN,O
14987,,payments,NNS,O
14988,,.,.,O
14989,Sentence: 9703,VOA,NNP,B-org
14990,,'s,POS,O
14991,,Chris,NNP,B-per
14992,,Simkins,NNPS,I-per
14993,,reports,VBZ,O
14994,,on,IN,O
14995,,how,WRB,O
14996,,one,CD,O
14997,,homeowner,NN,O
14998,,in,IN,O
14999,,[,LRB,O
15000,,the,DT,O
15001,,southern,JJ,O
15002,,US,NNP,B-geo
15003,,state,NN,O
15004,,of,IN,O
15005,,],RRB,O
15006,,Virginia,NNP,B-geo
15007,,is,VBZ,O
15008,,fighting,VBG,O
15009,,to,TO,O
15010,,keep,VB,O
15011,,his,PRP$,O
15012,,home,NN,O
15013,,.,.,O
15014,Sentence: 9704,Israeli,JJ,B-gpe
15015,,police,NNS,O
15016,,say,VBP,O
15017,,Prime,NNP,B-per
15018,,Minister,NNP,I-per
15019,,Ehud,NNP,I-per
15020,,Olmert,NNP,I-per
15021,,will,MD,O
15022,,be,VB,O
15023,,questioned,VBN,O
15024,,by,IN,O
15025,,police,NN,O
15026,,this,DT,O
15027,,week,NN,O
15028,,for,IN,O
15029,,a,DT,O
15030,,second,JJ,O
15031,,time,NN,O
15032,,in,IN,O
15033,,a,DT,O
15034,,corruption,NN,O
15035,,investigation,NN,O
15036,,against,IN,O
15037,,him,PRP,O
15038,,.,.,O
15039,Sentence: 9705,Police,NNS,O
15040,,spokesman,NN,O
15041,,Micky,NNP,B-per
15042,,Rosenfeld,NNP,I-per
15043,,said,VBD,O
15044,,Tuesday,NNP,B-tim
15045,,that,IN,O
15046,,the,DT,O
15047,,anti-fraud,JJ,O
15048,,unit,NN,O
15049,,will,MD,O
15050,,question,VB,O
15051,,Mr.,NNP,B-per
15052,,Olmert,NNP,I-per
15053,,Friday,NNP,B-tim
15054,,.,.,O
15055,Sentence: 9706,Police,NNS,O
15056,,asked,VBD,O
15057,,the,DT,O
15058,,prime,JJ,O
15059,,minister,NN,O
15060,,questions,NNS,O
15061,,for,IN,O
15062,,more,JJR,O
15063,,than,IN,O
15064,,an,DT,O
15065,,hour,NN,O
15066,,on,IN,O
15067,,May,NNP,B-tim
15068,,2,CD,I-tim
15069,,.,.,O
15070,Sentence: 9707,Prosecutors,NNS,O
15071,,accuse,VBP,O
15072,,Mr.,NNP,B-per
15073,,Olmert,NNP,I-per
15074,,of,IN,O
15075,,taking,VBG,O
15076,,hundreds,NNS,O
15077,,of,IN,O
15078,,thousands,NNS,O
15079,,of,IN,O
15080,,dollars,NNS,O
15081,,in,IN,O
15082,,cash,NN,O
15083,,from,IN,O
15084,,U.S.,NNP,B-org
15085,,businessman,NN,O
15086,,Morris,NNP,B-per
15087,,Talansky,NNP,I-per
15088,,before,IN,O
15089,,he,PRP,O
15090,,became,VBD,O
15091,,prime,JJ,O
15092,,minister,NN,O
15093,,.,.,O
15094,Sentence: 9708,Police,NNS,O
15095,,are,VBP,O
15096,,trying,VBG,O
15097,,to,TO,O
15098,,determine,VB,O
15099,,whether,IN,O
15100,,Mr.,NNP,B-per
15101,,Olmert,NNP,I-per
15102,,gave,VBD,O
15103,,any,DT,O
15104,,favors,NNS,O
15105,,to,TO,O
15106,,the,DT,O
15107,,businessman,NN,O
15108,,for,IN,O
15109,,the,DT,O
15110,,payments,NNS,O
15111,,.,.,O
15112,Sentence: 9709,Mr.,NNP,B-per
15113,,Olmert,NNP,I-per
15114,,and,CC,O
15115,,the,DT,O
15116,,businessman,NN,O
15117,,say,VBP,O
15118,,the,DT,O
15119,,funds,NNS,O
15120,,were,VBD,O
15121,,legal,JJ,O
15122,,contributions,NNS,O
15123,,to,TO,O
15124,,the,DT,O
15125,,Israeli,JJ,B-gpe
15126,,leader,NN,O
15127,,'s,POS,O
15128,,election,NN,O
15129,,campaigns,NNS,O
15130,,.,.,O
15131,Sentence: 9710,The,DT,O
15132,,prime,JJ,B-per
15133,,minister,NN,O
15134,,says,VBZ,O
15135,,he,PRP,O
15136,,will,MD,O
15137,,resign,VB,O
15138,,if,IN,O
15139,,indicted,VBN,O
15140,,.,.,O
15141,Sentence: 9711,North,JJ,O
15142,,Korean,JJ,B-gpe
15143,,leader,NN,O
15144,,Kim,NNP,B-per
15145,,Jong-il,NNP,I-per
15146,,has,VBZ,O
15147,,met,VBN,O
15148,,with,IN,O
15149,,a,DT,O
15150,,high-ranking,JJ,O
15151,,Chinese,JJ,B-gpe
15152,,delegation,NN,O
15153,,that,WDT,O
15154,,delivered,VBD,O
15155,,a,DT,O
15156,,message,NN,O
15157,,of,IN,O
15158,,congratulations,NNS,O
15159,,from,IN,O
15160,,Chinese,JJ,B-gpe
15161,,President,NNP,B-per
15162,,President,NNP,I-per
15163,,Hu,NNP,I-per
15164,,Jintao,NNP,I-per
15165,,.,.,O
15166,Sentence: 9712,The,DT,O
15167,,North,NNP,B-geo
15168,,'s,POS,O
15169,,state,NN,O
15170,,media,NNS,O
15171,,reported,VBD,O
15172,,Sunday,NNP,B-tim
15173,,that,IN,O
15174,,the,DT,O
15175,,Chinese,JJ,B-gpe
15176,,delegation,NN,O
15177,,was,VBD,O
15178,,led,VBN,O
15179,,by,IN,O
15180,,Deputy,NNP,O
15181,,Prime,NNP,B-per
15182,,Minister,NNP,I-per
15183,,Wu,NNP,I-per
15184,,Yi,NNP,I-per
15185,,.,.,O
15186,Sentence: 9713,China,NNP,B-geo
15187,,'s,POS,O
15188,,state,NN,O
15189,,media,NNS,O
15190,,said,VBD,O
15191,,she,PRP,O
15192,,expressed,VBD,O
15193,,the,DT,O
15194,,Chinese,JJ,B-gpe
15195,,president,NN,O
15196,,'s,POS,O
15197,,congratulatory,JJ,O
15198,,wishes,NNS,O
15199,,on,IN,O
15200,,the,DT,O
15201,,60th,JJ,B-tim
15202,,anniversary,NN,I-tim
15203,,of,IN,O
15204,,the,DT,O
15205,,founding,NN,O
15206,,of,IN,O
15207,,the,DT,O
15208,,North,NNP,B-geo
15209,,'s,POS,O
15210,,Workers,NNS,I-org
15211,,',POS,I-org
15212,,Party,NN,I-org
15213,,of,IN,I-org
15214,,Korea,NNP,I-geo
15215,,.,.,O
15216,Sentence: 9714,Xinhua,NNP,B-org
15217,,said,VBD,O
15218,,the,DT,O
15219,,Chinese,JJ,B-gpe
15220,,delegation,NN,O
15221,,is,VBZ,O
15222,,in,IN,O
15223,,the,DT,O
15224,,North,NNP,B-geo
15225,,for,IN,O
15226,,a,DT,O
15227,,three-day,JJ,B-tim
15228,,goodwill,NN,O
15229,,visit,NN,O
15230,,.,.,O
15231,Sentence: 9715,Neither,DT,O
15232,,Chinese,JJ,B-gpe
15233,,nor,CC,O
15234,,North,JJ,O
15235,,Korean,JJ,B-gpe
15236,,media,NNS,O
15237,,mentioned,VBD,O
15238,,the,DT,O
15239,,nuclear,JJ,O
15240,,crisis,NN,O
15241,,in,IN,O
15242,,their,PRP$,O
15243,,reports,NNS,O
15244,,.,.,O
15245,Sentence: 9716,North,NNP,B-geo
15246,,Korea,NNP,I-geo
15247,,agreed,VBD,O
15248,,last,JJ,O
15249,,month,NN,O
15250,,during,IN,O
15251,,six-nation,JJ,O
15252,,talks,NNS,O
15253,,in,IN,O
15254,,Beijing,NNP,B-geo
15255,,to,TO,O
15256,,abandon,VB,O
15257,,its,PRP$,O
15258,,nuclear,JJ,O
15259,,weapons,NNS,O
15260,,program,NN,O
15261,,in,IN,O
15262,,return,NN,O
15263,,for,IN,O
15264,,economic,JJ,O
15265,,aid,NN,O
15266,,",",",",O
15267,,energy,NN,O
15268,,assistance,NN,O
15269,,and,CC,O
15270,,security,NN,O
15271,,assurances,NNS,O
15272,,.,.,O
15273,Sentence: 9717,But,CC,O
15274,,Pyongyang,NNP,B-org
15275,,later,RB,O
15276,,said,VBD,O
15277,,it,PRP,O
15278,,first,RB,O
15279,,wants,VBZ,O
15280,,light-water,JJ,O
15281,,nuclear,JJ,O
15282,,reactors,NNS,O
15283,,for,IN,O
15284,,civilian,JJ,O
15285,,energy,NN,O
15286,,production,NN,O
15287,,.,.,O
15288,Sentence: 9718,The,DT,O
15289,,fifth,JJ,O
15290,,round,NN,O
15291,,of,IN,O
15292,,six-nation,JJ,O
15293,,talks,NNS,O
15294,,is,VBZ,O
15295,,scheduled,VBN,O
15296,,for,IN,O
15297,,early,JJ,O
15298,,next,JJ,O
15299,,month,NN,O
15300,,in,IN,O
15301,,Beijing,NNP,B-geo
15302,,.,.,O
15303,Sentence: 9719,South,NNP,B-geo
15304,,Africa,NNP,I-geo
15305,,'s,POS,O
15306,,president,NN,O
15307,,says,VBZ,O
15308,,his,PRP$,O
15309,,government,NN,O
15310,,will,MD,O
15311,,look,VB,O
15312,,into,IN,O
15313,,new,JJ,O
15314,,reports,NNS,O
15315,,on,IN,O
15316,,Zimbabwe,NNP,B-geo
15317,,'s,POS,O
15318,,elections,NNS,O
15319,,",",",",O
15320,,which,WDT,O
15321,,detail,VBP,O
15322,,serious,JJ,O
15323,,irregularities,NNS,O
15324,,.,.,O
15325,Sentence: 9720,Thabo,NNP,B-per
15326,,Mbeki,NNP,I-per
15327,,told,VBD,O
15328,,parliament,NN,O
15329,,Thursday,NNP,B-tim
15330,,the,DT,O
15331,,government,NN,O
15332,,would,MD,O
15333,,study,VB,O
15334,,the,DT,O
15335,,reports,NNS,O
15336,,from,IN,O
15337,,both,DT,O
15338,,Zimbabwe,NNP,B-geo
15339,,'s,POS,O
15340,,main,JJ,O
15341,,opposition,NN,O
15342,,party,NN,O
15343,,(,LRB,O
15344,,MDC,NNP,B-org
15345,,),RRB,O
15346,,and,CC,O
15347,,the,DT,O
15348,,independent,JJ,O
15349,,Zimbabwe,NNP,B-org
15350,,Electoral,NNP,I-org
15351,,Support,NNP,I-org
15352,,Network,NNP,I-org
15353,,.,.,O
15354,Sentence: 9721,He,PRP,O
15355,,says,VBZ,O
15356,,his,PRP$,O
15357,,government,NN,O
15358,,will,MD,O
15359,,then,RB,O
15360,,address,VB,O
15361,,whatever,WDT,O
15362,,issues,NNS,O
15363,,are,VBP,O
15364,,raised,VBN,O
15365,,.,.,O
15366,Sentence: 9722,On,IN,O
15367,,Wednesday,NNP,B-tim
15368,,",",",",O
15369,,Mr.,NNP,B-per
15370,,Mbeki,NNP,I-per
15371,,'s,POS,O
15372,,government,NN,O
15373,,said,VBD,O
15374,,it,PRP,O
15375,,was,VBD,O
15376,,satisfied,JJ,O
15377,,Zimbabwe,NNP,B-geo
15378,,'s,POS,O
15379,,parliamentary,JJ,O
15380,,elections,NNS,O
15381,,",",",",O
15382,,won,VBN,O
15383,,by,IN,O
15384,,the,DT,O
15385,,ruling,NN,O
15386,,party,NN,O
15387,,",",",",O
15388,,reflected,VBD,O
15389,,the,DT,O
15390,,will,NN,O
15391,,of,IN,O
15392,,the,DT,O
15393,,people,NNS,O
15394,,.,.,O
15395,Sentence: 9723,Observers,NNS,O
15396,,from,IN,O
15397,,South,NNP,B-geo
15398,,Africa,NNP,I-geo
15399,,endorsed,VBD,O
15400,,the,DT,O
15401,,poll,NN,O
15402,,following,VBG,O
15403,,the,DT,O
15404,,March,NNP,B-tim
15405,,31,CD,I-tim
15406,,election,NN,I-tim
15407,,.,.,O
15408,Sentence: 9724,And,CC,O
15409,,a,DT,O
15410,,delegation,NN,O
15411,,of,IN,O
15412,,monitors,NNS,O
15413,,from,IN,O
15414,,the,DT,O
15415,,Southern,JJ,B-org
15416,,African,NNP,I-org
15417,,Development,NNP,I-org
15418,,Community,NNP,I-org
15419,,also,RB,O
15420,,said,VBD,O
15421,,the,DT,O
15422,,vote,NN,O
15423,,was,VBD,O
15424,,credible,JJ,O
15425,,.,.,O
15426,Sentence: 9725,The,DT,O
15427,,United,NNP,B-geo
15428,,States,NNPS,I-geo
15429,,and,CC,O
15430,,Britain,NNP,B-geo
15431,,have,VBP,O
15432,,said,VBN,O
15433,,the,DT,O
15434,,elections,NNS,O
15435,,were,VBD,O
15436,,not,RB,O
15437,,free,JJ,O
15438,,or,CC,O
15439,,fair,JJ,O
15440,,.,.,O
15441,Sentence: 9726,Hurricane,NNP,O
15442,,Gustav,NNP,O
15443,,is,VBZ,O
15444,,moving,VBG,O
15445,,across,IN,O
15446,,the,DT,O
15447,,Caribbean,NNP,B-geo
15448,,toward,IN,O
15449,,southwestern,JJ,O
15450,,Haiti,NNP,B-geo
15451,,",",",",O
15452,,where,WRB,O
15453,,it,PRP,O
15454,,is,VBZ,O
15455,,expected,VBN,O
15456,,to,TO,O
15457,,make,VB,O
15458,,landfall,NN,O
15459,,later,RB,B-tim
15460,,Tuesday,NNP,B-tim
15461,,.,.,O
15462,Sentence: 9727,U.S.,NNP,B-org
15463,,forecasters,NNS,O
15464,,say,VBP,O
15465,,the,DT,O
15466,,storm,NN,O
15467,,'s,POS,O
15468,,winds,NNS,O
15469,,strengthened,VBD,O
15470,,on,IN,O
15471,,Tuesday,NNP,B-tim
15472,,morning,NN,I-tim
15473,,to,TO,O
15474,,nearly,RB,O
15475,,150,CD,O
15476,,kilometers,NNS,O
15477,,per,IN,O
15478,,hour,NN,O
15479,,.,.,O
15480,Sentence: 9728,Gustav,NNP,O
15481,,is,VBZ,O
15482,,expected,VBN,O
15483,,to,TO,O
15484,,produce,VB,O
15485,,up,RP,O
15486,,to,TO,O
15487,,38,CD,O
15488,,centimeters,NNS,O
15489,,of,IN,O
15490,,rain,NN,O
15491,,in,IN,O
15492,,some,DT,O
15493,,areas,NNS,O
15494,,",",",",O
15495,,possibly,RB,O
15496,,causing,VBG,O
15497,,dangerous,JJ,O
15498,,flash,NN,O
15499,,floods,NNS,O
15500,,and,CC,O
15501,,mudslides,NNS,O
15502,,.,.,O
15503,Sentence: 9729,The,DT,O
15504,,National,NNP,O
15505,,Hurricane,NNP,O
15506,,Center,NNP,O
15507,,in,IN,O
15508,,Miami,NNP,B-geo
15509,,upgraded,VBD,O
15510,,Gustav,NNP,O
15511,,to,TO,O
15512,,a,DT,O
15513,,hurricane,NN,O
15514,,early,RB,O
15515,,Tuesday,NNP,B-tim
15516,,.,.,O
15517,Sentence: 9730,A,DT,O
15518,,hurricane,NN,O
15519,,warning,NN,O
15520,,is,VBZ,O
15521,,in,IN,O
15522,,effect,NN,O
15523,,for,IN,O
15524,,parts,NNS,O
15525,,of,IN,O
15526,,Haiti,NNP,B-geo
15527,,and,CC,O
15528,,the,DT,O
15529,,Dominican,NNP,B-geo
15530,,Republic,NNP,I-geo
15531,,",",",",O
15532,,where,WRB,O
15533,,Tropical,JJ,O
15534,,Storm,NN,O
15535,,Fay,NNP,B-per
15536,,claimed,VBD,O
15537,,an,DT,O
15538,,estimated,VBN,O
15539,,50,CD,O
15540,,lives,NNS,O
15541,,less,JJR,O
15542,,than,IN,O
15543,,two,CD,B-tim
15544,,weeks,NNS,O
15545,,ago,RB,O
15546,,.,.,O
15547,Sentence: 9731,Fay,NNP,B-per
15548,,has,VBZ,O
15549,,weakened,VBN,O
15550,,a,DT,O
15551,,tropical,JJ,O
15552,,depression,NN,O
15553,,",",",",O
15554,,causing,VBG,O
15555,,heavy,JJ,O
15556,,rains,NNS,O
15557,,in,IN,O
15558,,the,DT,O
15559,,eastern,JJ,O
15560,,United,NNP,B-geo
15561,,States,NNPS,I-geo
15562,,.,.,O
15563,Sentence: 9732,Forecasters,NNS,O
15564,,expect,VBP,O
15565,,Hurricane,NNP,O
15566,,Gustav,NNP,O
15567,,to,TO,O
15568,,pass,VB,O
15569,,just,RB,O
15570,,south,RB,O
15571,,or,CC,O
15572,,east,RB,O
15573,,of,IN,O
15574,,Cuba,NNP,B-geo
15575,,on,IN,O
15576,,Wednesday,NNP,B-tim
15577,,.,.,O
15578,Sentence: 9733,Cuba,NNP,B-geo
15579,,and,CC,O
15580,,Jamaica,NNP,B-geo
15581,,have,VBP,O
15582,,issued,VBN,O
15583,,hurricane,NN,O
15584,,watches,NNS,O
15585,,.,.,O
15586,Sentence: 9734,The,DT,O
15587,,head,NN,O
15588,,of,IN,O
15589,,Iran,NNP,B-geo
15590,,'s,POS,O
15591,,nuclear,JJ,O
15592,,agency,NN,O
15593,,says,VBZ,O
15594,,the,DT,O
15595,,Islamic,NNP,B-geo
15596,,Republic,NNP,I-geo
15597,,must,MD,O
15598,,be,VB,O
15599,,allowed,VBN,O
15600,,to,TO,O
15601,,produce,VB,O
15602,,nuclear,JJ,O
15603,,fuel,NN,O
15604,,domestically,RB,O
15605,,.,.,O
15606,Sentence: 9735,Gholamreza,NNP,B-per
15607,,Aghazadeh,NNP,I-per
15608,,'s,POS,O
15609,,remark,NN,O
15610,,to,TO,O
15611,,reporters,NNS,O
15612,,Saturday,NNP,B-tim
15613,,in,IN,O
15614,,Tehran,NNP,B-geo
15615,,effectively,RB,O
15616,,rules,VBZ,O
15617,,out,RP,O
15618,,a,DT,O
15619,,compromise,NN,O
15620,,proposal,NN,O
15621,,diplomats,NNS,O
15622,,say,VBP,O
15623,,the,DT,O
15624,,Europeans,NNS,B-gpe
15625,,were,VBD,O
15626,,considering,VBG,O
15627,,offering,VBG,O
15628,,Iran,NNP,B-geo
15629,,.,.,O
15630,Sentence: 9736,He,PRP,O
15631,,spoke,VBD,O
15632,,in,IN,O
15633,,Tehran,NNP,B-geo
15634,,after,IN,O
15635,,meeting,VBG,O
15636,,with,IN,O
15637,,Russian,JJ,B-gpe
15638,,envoy,NN,O
15639,,Igor,NNP,B-per
15640,,Ivanov,NNP,I-per
15641,,.,.,O
15642,Sentence: 9737,The,DT,O
15643,,proposal,NN,O
15644,,",",",",O
15645,,which,WDT,O
15646,,the,DT,O
15647,,United,NNP,B-geo
15648,,States,NNP,I-geo
15649,,has,VBZ,O
15650,,denied,VBN,O
15651,,being,VBG,O
15652,,a,DT,O
15653,,part,NN,O
15654,,of,IN,O
15655,,",",",",O
15656,,would,MD,O
15657,,permit,VB,O
15658,,Tehran,NNP,B-org
15659,,to,TO,O
15660,,carry,VB,O
15661,,out,RP,O
15662,,an,DT,O
15663,,early,JJ,O
15664,,stage,NN,O
15665,,of,IN,O
15666,,nuclear,JJ,O
15667,,fuel,NN,O
15668,,production,NN,O
15669,,",",",",O
15670,,but,CC,O
15671,,move,VB,O
15672,,uranium,NN,O
15673,,enrichment,NN,O
15674,,to,TO,O
15675,,Russia,NNP,B-geo
15676,,.,.,O
15677,Sentence: 9738,Both,DT,O
15678,,Russian,JJ,B-gpe
15679,,and,CC,O
15680,,Iranian,JJ,B-gpe
15681,,officials,NNS,O
15682,,have,VBP,O
15683,,refused,VBN,O
15684,,to,TO,O
15685,,confirm,VB,O
15686,,whether,IN,O
15687,,Mr.,NNP,B-per
15688,,Ivanov,NNP,I-per
15689,,presented,VBD,O
15690,,any,DT,O
15691,,new,JJ,O
15692,,proposal,NN,O
15693,,to,TO,O
15694,,Iran,NNP,B-geo
15695,,.,.,O
15696,Sentence: 9739,Western,JJ,O
15697,,nations,NNS,O
15698,,are,VBP,O
15699,,concerned,VBN,O
15700,,that,IN,O
15701,,Iran,NNP,B-geo
15702,,wants,VBZ,O
15703,,to,TO,O
15704,,enrich,VB,O
15705,,uranium,NN,O
15706,,to,TO,O
15707,,high,JJ,O
15708,,levels,NNS,O
15709,,for,IN,O
15710,,use,NN,O
15711,,as,IN,O
15712,,fuel,NN,O
15713,,for,IN,O
15714,,nuclear,JJ,O
15715,,weapons,NNS,O
15716,,.,.,O
15717,Sentence: 9740,Iran,NNP,B-geo
15718,,denies,VBZ,O
15719,,this,DT,O
15720,,",",",",O
15721,,saying,VBG,O
15722,,it,PRP,O
15723,,seeks,VBZ,O
15724,,only,RB,O
15725,,to,TO,O
15726,,produce,VB,O
15727,,electricity,NN,O
15728,,.,.,O
15729,Sentence: 9741,Officials,NNS,O
15730,,of,IN,O
15731,,The,DT,B-org
15732,,Hague,NNP,I-org
15733,,war,NN,O
15734,,crimes,NNS,O
15735,,tribunal,JJ,O
15736,,have,VBP,O
15737,,questioned,VBN,O
15738,,a,DT,O
15739,,prominent,JJ,O
15740,,Kosovo,NNP,B-gpe
15741,,politician,NN,O
15742,,about,IN,O
15743,,his,PRP$,O
15744,,role,NN,O
15745,,as,IN,O
15746,,a,DT,O
15747,,leader,NN,O
15748,,of,IN,O
15749,,ethnic,JJ,O
15750,,Albanian,JJ,B-gpe
15751,,guerrilla,NN,O
15752,,forces,NNS,O
15753,,during,IN,O
15754,,the,DT,O
15755,,conflict,NN,O
15756,,in,IN,O
15757,,the,DT,O
15758,,Serbian,JJ,B-gpe
15759,,province,NN,O
15760,Sentence: 9742,Officials,NNS,O
15761,,say,VBP,O
15762,,Ramush,NNP,B-per
15763,,Haradinaj,NNP,I-per
15764,,spent,VBD,O
15765,,about,IN,O
15766,,90,CD,O
15767,,minutes,NNS,O
15768,,with,IN,O
15769,,investigators,NNS,O
15770,,who,WP,O
15771,,questioned,VBD,O
15772,,him,PRP,O
15773,,in,IN,O
15774,,Pristina,NNP,B-geo
15775,,at,IN,O
15776,,the,DT,O
15777,,headquarters,NN,O
15778,,of,IN,O
15779,,the,DT,O
15780,,United,NNP,B-org
15781,,Nations,NNP,I-org
15782,,administration,NN,O
15783,,.,.,O
15784,Sentence: 9743,No,DT,O
15785,,details,NNS,O
15786,,of,IN,O
15787,,the,DT,O
15788,,questioning,VBG,O
15789,,have,VBP,O
15790,,been,VBN,O
15791,,released,VBN,O
15792,,.,.,O
15793,Sentence: 9744,Mr.,NNP,B-per
15794,,Haradinaj,NNP,I-per
15795,,was,VBD,O
15796,,a,DT,O
15797,,top,JJ,O
15798,,leader,NN,O
15799,,of,IN,O
15800,,the,DT,O
15801,,ethnic,JJ,O
15802,,Albanian,JJ,B-gpe
15803,,Kosovo,NNP,B-org
15804,,Liberation,NNP,I-org
15805,,Army,NNP,I-org
15806,,during,IN,O
15807,,the,DT,O
15808,,conflict,NN,O
15809,,of,IN,O
15810,,the,DT,O
15811,,late,JJ,O
15812,,1990s,NNS,B-tim
15813,,.,.,O
15814,Sentence: 9745,He,PRP,O
15815,,later,RB,O
15816,,moved,VBD,O
15817,,into,IN,O
15818,,local,JJ,O
15819,,politics,NNS,O
15820,,",",",",O
15821,,founding,VBG,O
15822,,the,DT,O
15823,,Alliance,NNP,O
15824,,for,IN,O
15825,,the,DT,O
15826,,Future,NN,B-org
15827,,of,IN,I-org
15828,,Kosovo,NNP,I-org
15829,,",",",",O
15830,,a,DT,O
15831,,party,NN,O
15832,,that,WDT,O
15833,,came,VBD,O
15834,,in,IN,O
15835,,third,JJ,O
15836,,in,IN,O
15837,,last,JJ,O
15838,,month,NN,O
15839,,'s,POS,O
15840,,Kosovo,NNP,B-geo
15841,,assembly,NN,O
15842,,elections,NNS,O
15843,,.,.,O
15844,Sentence: 9746,Serbian,JJ,B-gpe
15845,,authorities,NNS,O
15846,,have,VBP,O
15847,,accused,VBN,O
15848,,him,PRP,O
15849,,of,IN,O
15850,,responsibility,NN,O
15851,,for,IN,O
15852,,numerous,JJ,O
15853,,murders,NNS,O
15854,,in,IN,O
15855,,and,CC,O
15856,,other,JJ,O
15857,,atrocities,NNS,O
15858,,during,IN,O
15859,,the,DT,O
15860,,Kosovo,NNP,B-geo
15861,,conflict,NN,O
15862,,.,.,O
15863,Sentence: 9747,Hundreds,NNS,O
